amc_name,aum,clients,approaches,date,linkedin,url
A K Alternative Asset Managers Private Limited,-,-,0,-,,https://pmsbazaar.com/AMC/A-K-Alternative-Asset-Managers-Private-Limited
ASK Property Investment Advisors Private Limited,-,-,0,-,,https://pmsbazaar.com/AMC/ASK-Property-Investment-Advisors-Private-Limited
Accelt asset management LLP,9.03,10,1,31 January 2026,,https://pmsbazaar.com/AMC/Accelt-asset-management-LLP
Aarth AIF,488.41,249,1,31 January 2026,https://www.linkedin.com/company/aarth-aif/,https://pmsbazaar.com/AMC/Aarth-AIF
Abans Investment Managers,129.61,103,2,31 January 2026,https://www.linkedin.com/company/abansgroupofcompanies,https://pmsbazaar.com/AMC/Abans-Investment-Managers
360 ONE Asset Management,31811.70,5912,8,31 January 2026,https://www.linkedin.com/company/360one-asset/,https://pmsbazaar.com/AMC/360-ONE-Asset-Management
Accuracap,567.45,272,6,31 January 2026,,https://pmsbazaar.com/AMC/Accuracap
2Point2 Capital,1835.56,877,1,31 January 2026,https://www.linkedin.com/company/2point2-capital?trk=biz-companies-cym,https://pmsbazaar.com/AMC/2Point2-Capital
Achintya Securities Pvt Ltd,0.00,0,0,31 January 2025,,https://pmsbazaar.com/AMC/Achintya-Securities-Pvt-Ltd
Acepro Advisors Pvt Ltd,3.98,5,2,31 January 2026,,https://pmsbazaar.com/AMC/Acepro-Advisors-Pvt-Ltd
Ace Lansdowne Investments Services LLP,28.40,71,0,31 August 2024,https://www.linkedin.com/company/ace-lansdowne-investments-services-llp/about/,https://pmsbazaar.com/AMC/Ace-Lansdowne-Investments-Services-LLP
35North Ventures Pvt Ltd,-,-,0,-,,https://pmsbazaar.com/AMC/35North-Ventures-Pvt-Ltd
A9 Finsight Pvt Ltd,-,-,1,-,,https://pmsbazaar.com/AMC/A9-Finsight-Pvt-Ltd
ASK Long Short Fund Managers Pvt Ltd,-,-,1,-,,https://pmsbazaar.com/AMC/ASK-Long-Short-Fund-Managers-Pvt-Ltd
Abakkus Asset Manager Private Limited,21268.46,11924,9,31 January 2026,https://www.linkedin.com/company/abakkus-asset-managers-llp/,https://pmsbazaar.com/AMC/Abakkus-Asset-Manager-Private-Limited
ASK Investment Managers Ltd,13588.77,8651,11,31 January 2026,https://www.linkedin.com/company/ask-group/,https://pmsbazaar.com/AMC/ASK-Investment-Managers-Ltd
Aequitas Investment Consultancy Pvt Ltd,4862.14,151,2,31 January 2026,https://www.linkedin.com/company/aequitas-investments/,https://pmsbazaar.com/AMC/Aequitas-Investment-Consultancy-Pvt-Ltd
Agreya Capital Advisors LLP,1209.53,424,4,31 January 2026,,https://pmsbazaar.com/AMC/Agreya-Capital-Advisors-LLP
Aequitas Investments IFSC Pvt Ltd,-,-,0,-,,https://pmsbazaar.com/AMC/Aequitas-Investments-IFSC-Pvt-Ltd
Aikyam Capital Management LLP,-,-,0,-,,https://pmsbazaar.com/AMC/Aikyam-Capital-Management-LLP
Aditya Birla Sun Life AMC,30971.86,2498,8,31 January 2026,,https://pmsbazaar.com/AMC/Aditya-Birla-Sun-Life-AMC
Ajanta Advisors LLP,-,-,1,-,,https://pmsbazaar.com/AMC/Ajanta-Advisors-LLP
Alchemy Capital Management,6823.25,2160,10,31 January 2026,https://www.linkedin.com/company/alchemy-capital-management,https://pmsbazaar.com/AMC/Alchemy-Capital-Management
Alder Capital,83.68,29,0,31 January 2025,,https://pmsbazaar.com/AMC/Alder-Capital
AlfAccurate Advisors,3627.19,1773,6,31 January 2026,,https://pmsbazaar.com/AMC/AlfAccurate-Advisors
AlphaAIFs,-,-,0,-,,https://pmsbazaar.com/AMC/AlphaAIFs
AltFirst Management Securities Pvt Ltd,-,-,0,-,,https://pmsbazaar.com/AMC/AltFirst-Management-Securities-Pvt-Ltd
AlphaGrep Investment Management,91.08,56,3,31 January 2026,,https://pmsbazaar.com/AMC/AlphaGrep-Investment-Management
Altacura AI,-,-,2,-,,https://pmsbazaar.com/AMC/Altacura-AI
Alpha Alternatives Fund Advisors LLP,563.87,65,2,31 January 2026,https://www.linkedin.com/company/alpha-alternatives/?originalSubdomain=in,https://pmsbazaar.com/AMC/Alpha-Alternatives-Fund-Advisors-LLP
Amaltas Asset Management LLP,47.05,34,2,31 January 2026,,https://pmsbazaar.com/AMC/Amaltas-Asset-Management-LLP
Ambit Global Private Client,1619.99,1619.99,3,31 January 2026,,https://pmsbazaar.com/AMC/Ambit-Global-Private-Client
Ambit Investment Advisors Pvt Ltd,2244.80,1448,4,31 January 2026,https://www.linkedin.com/company/ambit-private-limited/,https://pmsbazaar.com/AMC/Ambit-Investment-Advisors-Pvt-Ltd
Amcha Partners AIF Trust,-,-,1,-,,https://pmsbazaar.com/AMC/Amcha-Partners-AIF-Trust
Ampersand Capital Trust,-,-,1,-,https://www.linkedin.com/company/ampersand-capital-llp/ ,https://pmsbazaar.com/AMC/Ampersand-Capital-Trust
Arnya Realestates Fund Advisors Private Limited,-,-,0,-,https://www.linkedin.com/company/arnyarealestatesfundadvisors/	,https://pmsbazaar.com/AMC/Arnya-Realestates-Fund-Advisors-Private-Limited
Ametra Investment Managers Private Limited,48.48,74,6,31 January 2026,https://www.linkedin.com/company/Ametraalpha\									,https://pmsbazaar.com/AMC/Ametra-Investment-Managers-Private-Limited
