amc_name,fund_name,category,1yr,2yr,3yr,5yr,inception
Accelt asset management LLP,Long Term Equity Fund,Multi Cap & Flexi Cap,0.55%,NA,NA,NA,Nov 2024
Aarth AIF,Aarth Growth Fund,Small Cap,1.14%,NA,NA,NA,Dec 2024
Abans Investment Managers,Growth and Momentum,Multi Cap & Flexi Cap,2.00%,3.16%,14.67%,15.63%,Jan 2012
Abans Investment Managers,Smart Beta Portfolio,Mid Cap,1.83%,-1.99%,15.25%,12.95%,Apr 2019
360 ONE Asset Management,Multicap PMS,Multi Cap & Flexi Cap,3.00%,6.80%,13.24%,13.17%,Nov 2013
360 ONE Asset Management,Phoenix PMS,Multi Cap & Flexi Cap,8.57%,9.49%,20.87%,18.93%,Jan 2021
Accuracap,Picopower,Small & Mid Cap,-1.08%,3.67%,18.73%,19.63%,Oct 2011
Accuracap,Alpha10,Large Cap,6.27%,4.16%,12.46%,9.68%,Sep 2011
Accuracap,Alphagen,Multi Cap & Flexi Cap,5.70%,4.70%,16.00%,13.24%,Dec 2015
Accuracap,Dynamo,Small Cap,0.29%,7.09%,28.61%,25.02%,Dec 2016
2Point2 Capital,Long Term Value Fund,Multi Cap & Flexi Cap,24.80%,15.60%,26.10%,22.70%,Jul 2016
Acepro Advisors Pvt Ltd,Galaxy Strategy,Multi Cap & Flexi Cap,-1.39%,-1.09%,4.85%,7.64%,Jul 2018
Acepro Advisors Pvt Ltd,Large Cap Strategy,Large Cap,6.36%,8.78%,12.89%,12.17%,Feb 2019
A9 Finsight Pvt Ltd,Finavenue Growth Fund,Small & Mid Cap,-1.54%,31.93%,NA,NA,Jul 2023
ASK Long Short Fund Managers Pvt Ltd,ASK Absolute Return Fund,Long Short - Conservative,7.88%,13.12%,NA,NA,Jan 2024
Abakkus Asset Manager Private Limited,Emerging Opportunities,Small & Mid Cap,0.84%,8.56%,21.50%,24.98%,Oct 2020
Abakkus Asset Manager Private Limited,All Cap Approach,Multi Cap & Flexi Cap,15.57%,10.07%,18.86%,22.45%,Oct 2020
Abakkus Asset Manager Private Limited,Diversified Alpha Approach,Multi Cap & Flexi Cap,11.38%,8.48%,NA,NA,Jan 2024
ASK Investment Managers Ltd,ASK Indian Entrepreneur Portfolio,Multi Cap & Flexi Cap,6.09%,6.22%,12.18%,11.27%,Jan 2010
ASK Investment Managers Ltd,ASK India Select Portfolio,Multi Cap & Flexi Cap,1.87%,3.13%,11.20%,9.97%,Jan 2010
ASK Investment Managers Ltd,ASK Growth Portfolio,Multi Cap & Flexi Cap,1.75%,3.47%,11.36%,10.56%,Jan 2001
ASK Investment Managers Ltd,ASK Financial Opportunities Portfolio,Sector Fund,22.15%,17.78%,17.90%,13.04%,Jun 2018
ASK Investment Managers Ltd,ASK India Vision Portfolio,Multi Cap & Flexi Cap,5.33%,3.78%,10.53%,10.71%,Nov 2019
ASK Investment Managers Ltd,ASK Emerging Opportunities Portfolio,Small & Mid Cap,-0.13%,4.07%,11.76%,11.52%,Aug 2017
ASK Investment Managers Ltd,ASK Domestic Resurgence Portfolio,Multi Cap & Flexi Cap,6.29%,7.05%,14.71%,13.80%,Jun 2018
ASK Investment Managers Ltd,ASK Lighthouse Portfolio,Multi Cap & Flexi Cap,3.43%,NA,NA,NA,Mar 2024
ASK Investment Managers Ltd,ASK Life Portfolio,Large Cap,5.60%,3.04%,9.33%,8.94%,Sep 2008
ASK Investment Managers Ltd,ASK Strategic Portfolio,Mid Cap,0.31%,4.19%,12.12%,12.03%,Dec 2009
ASK Investment Managers Ltd,ASK Core Portfolio,Large Cap,NA,NA,NA,NA,Jul 2025
Aequitas Investment Consultancy Pvt Ltd,India Opportunities Product,Small Cap,62.34%,32.13%,52.52%,49.21%,Feb 2013
Agreya Capital Advisors LLP,Momentum,Large Cap,4.50%,1.43%,16.21%,14.25%,Aug 2018
Agreya Capital Advisors LLP,Total Return,Multi Cap & Flexi Cap,2.75%,7.03%,16.54%,19.56%,Sep 2018
Agreya Capital Advisors LLP,Multi-Asset Enhancer,Multi Asset,15.72%,11.28%,12.13%,11.77%,Jun 2019
Agreya Capital Advisors LLP,Total Return Enhancer,Multi Cap & Flexi Cap,5.58%,5.40%,17.79%,NA,Feb 2021
Aditya Birla Sun Life AMC,Select Sector Portfolio,Small & Mid Cap,9.29%,18.46%,26.00%,25.37%,Oct 2009
Aditya Birla Sun Life AMC,Core Equity Portfolio,Multi Cap & Flexi Cap,7.87%,5.47%,12.85%,15.00%,Jan 2009
Aditya Birla Sun Life AMC,Top 200 Core Equity Portfolio,Large Cap,3.21%,6.90%,14.62%,15.17%,May 2015
