amc_name,manager_name,designation,bio
A K Alternative Asset Managers Private Limited,Mr. Vikas Jain,Chief Investment Officer,"With over 24 years of experience in the Indian debt market, Mr. Vikas Jain has been a pivotal figure at A. K. Capital Group, where he has led credit evaluation, advisory, and business development for a wide spectrum of private sector companies, including mid-market enterprises. Over the last about 10 years, he has been part of the investment banking team at A K Capital Services Limited, managing the proprietary pool of over Rs. 400 crores, focused on dealing in fixed income securities"
Accelt asset management LLP,Mr Vaibhav Agarwal,Founder and Fund manager,"Vaibhav Agarwal is the Founder and Portfolio Manager at Accelt Asset Management LLP. He brings with him 15 years of investing experience.Vaibhav achieved financial independence at the age of 35.He has worked as Head of Research at Basant Maheshwari Wealth Advisers and also with CitiBank, ICICI Bank and Aditya Birla Group.He is a Chartered Accountant, CFA Charterholder from the CFA Institute (Virginia, USA), Company Secretary, and has a Master’s degree in Finance along with NISM certification. He is an alumnus of St. Xavier’s College, Kolkata. Besides his passion for equity investing, Vaibhav likes to play lawn tennis and read books."
Aarth AIF,Mr Adheesh Kabra,Co-Founder and Fund Manager,"Adheesh Kabra, a Chartered Accountant, Company Secretary, and Certified Financial Planner, brings over 15 years of expertise in capital markets. As Co-Founder and Fund Manager of Aarth AIF, he specializes in identifying high-potential investment opportunities, particularly in the SME sector, and designing agile investment strategies that deliver sustainable growth. Adheesh's strong institutional network and deep promoter relationships empower him to validate and execute investment ideas effectively, ensuring atractive returns for investors. His leadership and strategic insights have been instrumental in shaping Aarth AIF's commitment to transparency and high-growth opportunities. Previously, Adheesh founded Prabhat Investment Services and AS Finalysis Ventures LLP. He also served as Director & CFO of Prabhat Financial Services Ltd."
Aarth AIF,Mr Rishi Agarwal,Co-Founder and Fund Manager,"A Chartered Accountant, CFA Charter holder, and Certified Fund Manager, brings over a decade of expertise in shaping investment strategies for family offices and corporate treasuries. His experience spans designing and implementing investment policies and risk management frameworks, enabling institutions to navigate complex financial landscapes effectively. Rishi has led finance transformations for corporates with assets exceeding Rs.1,000 crore and has worked closely with CXOs of wealth management firms managing over $40 billion in AUM. Known for driving cost efficiencies of over Rs.500 crore and optimizing treasury operations, his strategic approach and deep financial insights enable him to make high-impact investment decisions at Aarth Growth Fund, ensuring sustainable returns and long-term value creation for investors."
Abans Investment Managers,Mr. Abhishek Bansal,Founder Chairman & Managing Director,"A post graduate in Business Administration from S K School of Business Management (2001-03). He carries along with him at 17 years of work experience in the financial industries. With his previous company Standard chartered he performed in various roles. He started as senior investment advisor at standard and went to be become a Associate director and cluster head for wealth advisory. He was also a product manager for Alternate products at standard chartered for almost two year. Post which he went to become a Director & Head - Premium Business (Handling PMS & Private Banking business for Standard Chartered Securities (India) Ltd). He currently leads the Wealth & Investment Management business at Abans group of companies. He also been a part of various companies like Aditya Birla group, Kotak Mahindra Bank and Citi group."
Abans Investment Managers,Mr. Bhavik Thakkar,CEO - ABans Wealth & Investment Managers,"A post graduate in Business Administration from S K School of Business Management (2001-03). He carries along with him at 17 years of work experience in the financial industries. With his previous company Standard chartered he performed in various roles. He started as senior investment advisor at standard and went to be become a Associate director and cluster head for wealth advisory. He was also a product manager for Alternate products at standard chartered for almost two year. Post which he went to become a Director & Head - Premium Business (Handling PMS & Private Banking business for Standard Chartered Securities (India) Ltd). He currently leads the Wealth & Investment Management business at Abans group of companies. He also been a part of various companies like Aditya Birla group, Kotak Mahindra Bank and Citi group."
Abans Investment Managers,Mr. Kaushik Dani,Portfolio Manager,"Kaushik has over 23 years of experience in Indian Capital Markets in the areas of Fund Management, Equity Research and Portfolio Management. He has worked with some of the large Portfolio Management Companies in India including Reliance Wealth, Karvy, KR Choksey and Sharekhan. In his previous role he was a leading Portfolio Manager responsible for managing various discretionary strategies. The Midcap PMS Strategy there had a good track record of outperforming the benchmark Index over long periods. He has also worked with Mutual funds like Birla Sunlife Mutual Fund and Peerless Mutual Fund. At Peerless MF, he was the key Equity Fund Manager and also headed Equities. He has done his MBA in Finance from Canadian School of Management and Graduation from Mumbai University."
Abans Investment Managers,Mr. Mayank Mundhra,Vice President - Risk Management,"Mayank conceptualized and set up the Enterprise Risk Management desk at Abans based on his experience of over 16 years at industry leading firms. Having played multiple roles in risk management, credit research, MIS and predictive modeling, Mayank believes that effective risk management is the most fundamental business enabler. An undergraduate degree holder in engineering, Mayank is also armed with a postgraduate degree in Finance from the Mumbai University."
360 ONE Asset Management,Mr. Anup Maheshwari,Chief Investment Officer,"Mehul Jani is President of Fund Management at 360 ONE Asset, earlier known as IIFL Asset Management. Prior to 360 ONE Asset, Mehul was associated with DSP Investment Managers Private Limited (formerly known as DSP BlackRock Investment Managers Private Limited), where he was a fund manager and analyst. He joined DSP BlackRock in October 2008 as an Analyst in the Equities team. Mehul has previously worked with Morgan Stanley Plc, London as an Associate working with structured product valuations and fund derivatives. He is a CFA Charterholder and has an MSc in Banking and International Finance."
360 ONE Asset Management,Mr Mehul Jani,Fund Manager,"Mehul Jani is President of Fund Management at 360 ONE Asset, earlier known as IIFL Asset Management. Prior to 360 ONE Asset, Mehul was associated with DSP Investment Managers Private Limited (formerly known as DSP BlackRock Investment Managers Private Limited), where he was a fund manager and analyst. He joined DSP BlackRock in October 2008 as an Analyst in the Equities team. Mehul has previously worked with Morgan Stanley Plc, London as an Associate working with structured product valuations and fund derivatives. He is a CFA Charterholder and has an MSc in Banking and International Finance."
